Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Age,Degree of urbanisation,UNIT_MEASURE,Value
2000,Normal value,Not Available,Under-five mortality rate,Units,"DHS, NISR",Annual,National,Under-five mortality rate [3.2.1],Rwanda,under 5 years old,,"Per 1,000 live births",196
2005,Normal value,Not Available,Under-five mortality rate,Units,"DHS, NISR",Annual,National,Under-five mortality rate [3.2.1],Rwanda,under 5 years old,,"Per 1,000 live births",152
2008,Normal value,Not Available,Under-five mortality rate,Units,"DHS, NISR",Annual,National,Under-five mortality rate [3.2.1],Rwanda,under 5 years old,,"Per 1,000 live births",103
2010,Normal value,Not Available,Under-five mortality rate,Units,"DHS, NISR",Annual,National,Under-five mortality rate [3.2.1],Rwanda,under 5 years old,,"Per 1,000 live births",76
2015,Normal value,Not Available,Under-five mortality rate,Units,"DHS, NISR",Annual,National,Under-five mortality rate [3.2.1],Rwanda,under 5 years old,,"Per 1,000 live births",50
2020,Normal value,Not Available,Under-five mortality rate,Units,"DHS, NISR",Annual,National,Under-five mortality rate [3.2.1],Rwanda,under 5 years old,,"Per 1,000 live births",45
2008,Normal value,Not Available,Under-five mortality rate,Units,"DHS, NISR",Annual,National,Under-five mortality rate [3.2.1],Rwanda,under 5 years old,Urban,"Per 1,000 live births",87
2010,Normal value,Not Available,Under-five mortality rate,Units,"DHS, NISR",Annual,National,Under-five mortality rate [3.2.1],Rwanda,under 5 years old,Urban,"Per 1,000 live births",81
2015,Normal value,Not Available,Under-five mortality rate,Units,"DHS, NISR",Annual,National,Under-five mortality rate [3.2.1],Rwanda,under 5 years old,Urban,"Per 1,000 live births",51
2008,Normal value,Not Available,Under-five mortality rate,Units,"DHS, NISR",Annual,National,Under-five mortality rate [3.2.1],Rwanda,under 5 years old,Rural,"Per 1,000 live births",142
2010,Normal value,Not Available,Under-five mortality rate,Units,"DHS, NISR",Annual,National,Under-five mortality rate [3.2.1],Rwanda,under 5 years old,Rural,"Per 1,000 live births",105
2015,Normal value,Not Available,Under-five mortality rate,Units,"DHS, NISR",Annual,National,Under-five mortality rate [3.2.1],Rwanda,under 5 years old,Rural,"Per 1,000 live births",70
